,accession,time,primarydoc,form,url
111,0000320193-23-000077,2023-08-04,aapl-20230701.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000077/aapl-20230701.htm
112,0000320193-23-000075,2023-08-03,aapl-20230803.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000075/aapl-20230803.htm
113,0000320193-23-000070,2023-05-18,xslF345X04/wf-form4_168444912415136.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000070/xslF345X04/wf-form4_168444912415136.xml
114,0000320193-23-000068,2023-05-12,xslF345X04/wf-form4_168393061463065.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000068/xslF345X04/wf-form4_168393061463065.xml
115,0000320193-23-000066,2023-05-10,xslF345X04/wf-form4_168375780902324.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000066/xslF345X04/wf-form4_168375780902324.xml
116,0001140361-23-023909,2023-05-10,ny20007635x4_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123023909/ny20007635x4_8k.htm
117,0001140361-23-023700,2023-05-09,ny20007635x3_424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123023700/ny20007635x3_424b2.htm
118,0001140361-23-023544,2023-05-09,ny20007635x2_fwp.htm,FWP,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123023544/ny20007635x2_fwp.htm
119,0001140361-23-023333,2023-05-08,ny20007635x1_424b2.htm,424B2,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123023333/ny20007635x1_424b2.htm
120,0000320193-23-000064,2023-05-05,aapl-20230401.htm,10-Q,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000064/aapl-20230401.htm
121,0000320193-23-000063,2023-05-04,aapl-20230504.htm,8-K,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000063/aapl-20230504.htm
122,0000320193-23-000057,2023-04-18,xslF345X04/wf-form4_168185708431590.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000057/xslF345X04/wf-form4_168185708431590.xml
123,0000320193-23-000055,2023-04-17,xslF345X04/wf-form4_168177065948283.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000055/xslF345X04/wf-form4_168177065948283.xml
124,0001958244-23-000454,2023-04-13,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195824423000454/xsl144X01/primary_doc.xml
125,0000320193-23-000053,2023-04-10,xslF345X04/wf-form4_168116581286812.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000053/xslF345X04/wf-form4_168116581286812.xml
126,0001958244-23-000440,2023-04-06,xsl144X01/primary_doc.xml,144,https://www.sec.gov/Archives/edgar/data/0000320193/000195824423000440/xsl144X01/primary_doc.xml
127,0000320193-23-000051,2023-04-04,xslF345X04/wf-form4_168064766485466.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000051/xslF345X04/wf-form4_168064766485466.xml
128,0000320193-23-000050,2023-04-04,xslF345X04/wf-form4_168064761527635.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000050/xslF345X04/wf-form4_168064761527635.xml
129,0000320193-23-000049,2023-04-04,xslF345X04/wf-form4_168064754806371.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000049/xslF345X04/wf-form4_168064754806371.xml
130,0000320193-23-000048,2023-04-04,xslF345X04/wf-form4_168064750462974.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000048/xslF345X04/wf-form4_168064750462974.xml
131,0000320193-23-000047,2023-04-04,xslF345X04/wf-form4_168064745080973.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000047/xslF345X04/wf-form4_168064745080973.xml
132,0000320193-23-000040,2023-03-24,xslF345X04/wf-form4_167969705479427.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000040/xslF345X04/wf-form4_167969705479427.xml
133,0001140361-23-012065,2023-03-16,brhc10048434_sd.htm,SD,https://www.sec.gov/Archives/edgar/data/0000320193/000114036123012065/brhc10048434_sd.htm
134,0000320193-23-000038,2023-03-14,xslF345X03/wf-form4_167883332720098.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000038/xslF345X03/wf-form4_167883332720098.xml
135,0000320193-23-000037,2023-03-14,xslF345X03/wf-form4_167883328933055.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000037/xslF345X03/wf-form4_167883328933055.xml
136,0000320193-23-000036,2023-03-14,xslF345X03/wf-form4_167883325244111.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000036/xslF345X03/wf-form4_167883325244111.xml
137,0000320193-23-000035,2023-03-14,xslF345X03/wf-form4_167883321069337.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000035/xslF345X03/wf-form4_167883321069337.xml
138,0000320193-23-000034,2023-03-14,xslF345X03/wf-form4_167883316975236.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000034/xslF345X03/wf-form4_167883316975236.xml
139,0000320193-23-000033,2023-03-14,xslF345X03/wf-form4_167883310220723.xml,4,https://www.sec.gov/Archives/edgar/data/0000320193/000032019323000033/xslF345X03/wf-form4_167883310220723.xml
