Ticker,Name,Sector,Subsector,HQ,Added,CIK,Founded
COR,Cencora,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",8/30/01,1140859,1985
COST,Costco,Consumer Staples,Consumer Staples Merchandise Retail,"Issaquah, Washington",10/1/93,909832,1976
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",6/20/18,1175454,2000
CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",3/4/57,16732,1869
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",7/2/18,900075,1982
CPT,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas",4/4/22,906345,1981
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts",5/14/21,1100682,1947
CRM,Salesforce,Information Technology,Application Software,"San Francisco, California",9/15/08,1108524,1999
CRWD,CrowdStrike,Information Technology,Systems Software,"Austin, Texas",6/24/24,1535527,2011
CSCO,Cisco,Information Technology,Communications Equipment,"San Jose, California",12/1/93,858877,1984
CSGP,CoStar Group,Real Estate,Real Estate Services,"Washington, D.C.",9/19/22,1057352,1987
CSX,CSX Corporation,Industrials,Rail Transportation,"Jacksonville, Florida",3/4/57,277948,1980
CTAS,Cintas,Industrials,Diversified Support Services,"Mason, Ohio",3/1/01,723254,1929
CTLT,Catalent,Health Care,Pharmaceuticals,"Somerset, New Jersey",9/21/20,1596783,2007
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6/23/08,858470,2021 (1989)
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",11/17/06,1058290,1994
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",6/3/19,1755672,2019
CVS,CVS Health,Health Care,Health Care Services,"Woonsocket, Rhode Island",3/4/57,64803,1996
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,"San Ramon, California",3/4/57,93410,1879
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,"Reno, Nevada",3/22/21,1590895,1973
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",11/30/16,715957,1983
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",9/11/13,27904,1929
DAY,Dayforce,Industrials,Human Resource & Employment Services,"Minneapolis, Minnesota",9/20/21,1725057,1992
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",4/2/19,1666700,2017 (1802)
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",3/4/57,315189,1837
DECK,Deckers Brands,Consumer Discretionary,Footwear,"Goleta, California",3/18/24,910521,1973
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals","Round Rock, Texas",9/23/24,1571996,2016
DFS,Discover Financial,Financials,Consumer Finance,"Riverwoods, Illinois",7/2/07,1393612,1985
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",12/3/12,29534,1939
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",12/12/02,1022079,1967
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,"Arlington, Texas",6/22/05,882184,1978
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,"Washington, D.C.",11/18/98,313616,1969
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,"Burbank, California",6/30/76,1744489,1923
